DMU,input,input,input
1,17687954.4,424337.4,1221.0
2,17687954.4,440084.0,1220.0
3,17695954.4,474579.45,1218.0
4,17735954.4,360018.8,1216.0
5,17735954.4,392128.55,1215.0
6,17735954.4,396904.55,1214.0
7,17743954.4,275324.8,1219.0
8,17767954.4,394513.55,901.0
9,17791954.4,387934.9,906.0
10,17807954.4,261882.2,900.0
11,17908550.4,190188.6,1682.0
12,17916550.4,190188.6,1524.0
13,17921699.4,190188.6,1372.0
14,17942848.4,190188.6,1221.0
15,18051997.4,190188.6,1065.0
16,18144040.4,190188.6,909.0
17,18316722.4,362335.7,752.0
18,18388722.4,230604.0,752.0
19,18421914.4,335415.6,749.0
20,18491063.4,557712.3,738.0
21,18597914.4,190188.6,752.0
22,19003874.4,487663.25,594.0
23,19171874.4,491677.9,593.0
24,19199364.4,380826.9,594.0
25,19247364.4,299012.6,596.0
26,19362854.4,169899.0,596.0
27,19685324.4,81364.6,1217.0
28,19701324.4,81364.6,899.0
29,19757324.4,81364.6,748.0
30,27750614.4,1060780.6,440.0
